error,bueno
Chr_pun,Chromis_punctipinnis
Gib_eie,Gibbonsia_elegans
Gir_nig,Girella_nigricans
Hal_sem,Halichoeres_semicinctus
Hyp_rub,hypsypops_rubicundus
Oxy_cal,Oxyjulis_californica
Par_cla,Paralabrax_clathratus
Seb_atr,Sebastes_atrovirens
Sem_pul,Semicossyphus_pulcher
Chr_pun,Chromis_punctipinnis
Emb_jac,Embiotoca_jacksoni
Seb_serr,Sebastes_serrieps
Het_ros,Heterostichus_rostratus
Cau_pri,Caulolatilus_princeps
Hyp_car,Hypsurus_caryi
Rha_vac,Rhacochilus_vacca
Anthopleura_sola,Anthopleura_sola
Megatura_crenulata,Megatura_crenulata
Lytechinus_anamesus,Lytechinus_anamesus
Urticina_picivora,Urticina_picivora
Balanophylia_elegans,Balanophylia_elegans
Lithopoma_spp,Megastrea_undosa
Acarnus_erithacus,Acarnus_erithacus
Cobble (< 10 cm),Cobble_10cm
Boulder (10 cm - 1 m),Boulder_10_cm_1_m
10 cm - 1 m,10 cm_1 m
1 m - 2 m,1 m_2 m
> 2 m,2 m
Juvenile Laminariales,Juvenile_laminariales
Dead Kelp Holdfast (any),Dead_kelp_holdfast_any
BRANCH-flat branching,Branch_flat_branching
"LEAF- blade, unbranched",leaf_blade_unbranched
Crustose coralline algae,Crustose_coralline_algae
Macrocystis holdfast (Live),Macrocystis_holdfast_live
Solitary tunicate,Solitary_tunicate
Other anemone,Other_anemone
Seastes_atrovirens,Sebastes_atrovirens
Halichoeres semicinctus,Halichoeres_semicinctus
Anthopleura,Anthopleura_sola
Sargassum_horne,Sargassum_horneri
Bedrock (> 1 m),Bedrock_1_m